"Artista","Titulo"
"Heilung","Alfadhirhaiti"
"Wardruna","Fehu"
"Nytt Land","Ragnarök"
"Dead Can Dance","The Host of Seraphim - Remastered"
"Danheim","Kala"
"Wardruna","Helvegen"
"Heilung","Norupo"
"Wardruna","Rotlaust Tre Fell"
"Dead Can Dance","Cantara"
"Wardruna","Solringen"
"Type O Negative","Christian Woman"
"Nine Inch Nails","Hurt (Quiet)"
"Depeche Mode","Black Celebration"
"Massive Attack;Horace Andy","Angel"
"Sisters of Mercy","This Corrosion"
"Fields Of The Nephilim","Moonchild"
"Rammstein","Klavier"
"Katatonia","My Twin"
"Nine Inch Nails","The Frail"
"Opeth","Windowpane"
"Tiamat","Whatever That Hurts"
"Moonspell","Opium"
"Anathema","Deep - Remastered"
"Paradise Lost","The Enemy"
"Katatonia","July"
"My Dying Bride","For My Fallen Angel"
"Rammstein","Mein Herz brennt"
"Nine Inch Nails","The Hand That Feeds"
"Marilyn Manson","Tourniquet"
"PAIN","Shut Your Mouth"
"Skizoo","Renuncia al Sol"
"Combichrist","Never Surrender"
"Rammstein","Wollt ihr das Bett in Flammen sehen"
"Fantastico Hombre Bala","Soy"
"OOMPH!","Gott ist ein Popstar"
"Rabia Sorda","Radio Paranoia"
"Eisbrecher","Was ist hier los?"
"Combichrist","Get Your Body Beat"
"Sôber","Arrepentido - Remastered 2023"
"Rammstein","Zwitter"
"Rob Zombie","Dragula"
"Static-X","Push It"
"Korn","Blind"
"In This Moment","Blood"
"Mick Gordon","Rip & Tear"
"Hamlet","J.F."
"Fear Factory","Demanufacture"
"Marilyn Manson","The Beautiful People"
"Rammstein","Sonne"
"Combichrist","WTF Is Wrong with You People?"
"Behemoth","Blow Your Trumpets Gabriel"
"Dimmu Borgir","Progenies of the Great Apocalypse"
"Megaherz","Jagdzeit"
"Paradise Lost","Forever Failure - Remastered"
"Katatonia","Day and Then the Shade"
"Nine Inch Nails","Hurt"
